best_epoch,best_metric,data_digest,dist,doae,dropout,f20,job,lr,rde,seed,seld,status,task,test_log,train_log
55,seld,e326b4a7ee06b2ce,0.51,39.82,0.05,7.39,tune_seld_lr3em4_seed0,0.0003,0.26,0,0.587,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr3em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr3em4_seed0.log
55,seld,e326b4a7ee06b2ce,0.53,40.18,0.05,7.43,tune_seld_lr3em4_seed0,0.0003,0.27,0,0.589,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr3em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr3em4_seed0.log
58,seld,e326b4a7ee06b2ce,0.47,35.78,0.05,8.6,tune_seld_lr3em4_seed1,0.0003,0.27,1,0.578,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr3em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr3em4_seed1.log
56,seld,e326b4a7ee06b2ce,0.54,38.02,0.05,9.16,tune_seld_lr3em4_seed1,0.0003,0.31,1,0.59,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr3em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr3em4_seed1.log
