best_epoch,best_metric,data_digest,dist,doae,dropout,f20,job,lr,rde,seed,seld,status,task,test_log,train_log
0,doae,e326b4a7ee06b2ce,2.3,28.91,0.05,0.0,tune_doae_lr5em4_seed0,0.0005,0.8,0,0.973,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr5em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr5em4_seed0.log
0,doae,e326b4a7ee06b2ce,2.38,20.3,0.05,0.0,tune_doae_lr5em4_seed0,0.0005,0.85,0,0.973,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr5em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr5em4_seed0.log
14,doae,e326b4a7ee06b2ce,0.63,30.81,0.05,1.61,tune_doae_lr5em4_seed1,0.0005,0.37,1,0.882,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr5em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr5em4_seed1.log
49,doae,e326b4a7ee06b2ce,0.68,29.27,0.05,8.96,tune_doae_lr5em4_seed1,0.0005,0.32,1,0.62,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr5em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr5em4_seed1.log
