best_epoch,best_metric,data_digest,dist,doae,dropout,f20,job,lr,rde,seed,seld,status,task,test_log,train_log
2,doae,e326b4a7ee06b2ce,0.57,22.23,0.05,0.09,tune_doae_lr3em4_seed0,0.0003,0.4,0,0.924,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr3em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr3em4_seed0.log
2,doae,e326b4a7ee06b2ce,0.52,30.21,0.05,0.2,tune_doae_lr3em4_seed0,0.0003,0.24,0,0.918,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr3em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr3em4_seed0.log
12,doae,e326b4a7ee06b2ce,0.52,26.8,0.05,3.19,tune_doae_lr3em4_seed1,0.0003,0.25,1,0.825,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr3em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr3em4_seed1.log
14,doae,e326b4a7ee06b2ce,0.68,30.05,0.05,2.35,tune_doae_lr3em4_seed1,0.0003,0.32,1,0.837,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr3em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr3em4_seed1.log
