best_epoch,best_metric,data_digest,dist,doae,dropout,f20,job,lr,rde,seed,seld,status,task,test_log,train_log
55,seld,e326b4a7ee06b2ce,0.49,37.72,0.05,8.52,tune_seld_lr5em4_seed0,0.0005,0.26,0,0.578,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr5em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr5em4_seed0.log
55,seld,e326b4a7ee06b2ce,0.52,37.08,0.05,8.1,tune_seld_lr5em4_seed0,0.0005,0.28,0,0.584,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr5em4_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr5em4_seed0.log
50,seld,e326b4a7ee06b2ce,0.69,49.81,0.05,9.01,tune_seld_lr5em4_seed1,0.0005,0.27,1,0.559,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr5em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr5em4_seed1.log
53,seld,e326b4a7ee06b2ce,0.53,41.57,0.05,7.7,tune_seld_lr5em4_seed1,0.0005,0.29,1,0.594,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr5em4_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr5em4_seed1.log
