best_epoch,best_metric,data_digest,dist,doae,dropout,f20,job,lr,rde,seed,seld,status,task,test_log,train_log
57,seld,e326b4a7ee06b2ce,0.48,53.12,0.05,6.27,tune_seld_lr1em3_seed0,0.001,0.28,0,0.613,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr1em3_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr1em3_seed0.log
58,seld,e326b4a7ee06b2ce,0.45,52.93,0.05,5.58,tune_seld_lr1em3_seed0,0.001,0.25,0,0.682,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr1em3_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr1em3_seed0.log
55,seld,e326b4a7ee06b2ce,0.48,52.7,0.05,5.7,tune_seld_lr1em3_seed1,0.001,0.25,1,0.645,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr1em3_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_seld_lr1em3_seed1.log
52,seld,e326b4a7ee06b2ce,0.56,59.2,0.05,4.23,tune_seld_lr1em3_seed1,0.001,0.26,1,0.66,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr1em3_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_seld_lr1em3_seed1.log
