best_epoch,best_metric,data_digest,dist,doae,dropout,f20,job,lr,rde,seed,seld,status,task,test_log,train_log
3,doae,e326b4a7ee06b2ce,0.34,29.61,0.05,0.38,tune_doae_lr1em3_seed0,0.001,0.19,0,0.956,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr1em3_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr1em3_seed0.log
41,doae,e326b4a7ee06b2ce,0.65,36.34,0.05,1.5,tune_doae_lr1em3_seed0,0.001,0.34,0,0.808,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr1em3_seed0_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr1em3_seed0.log
13,doae,e326b4a7ee06b2ce,0.67,28.24,0.05,0.09,tune_doae_lr1em3_seed1,0.001,0.57,1,0.935,complete,171,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr1em3_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_171_tune_doae_lr1em3_seed1.log
5,doae,e326b4a7ee06b2ce,0.87,24.18,0.05,0.11,tune_doae_lr1em3_seed1,0.001,0.42,1,0.963,complete,172,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr1em3_seed1_test.log,C:\Users\Administrator\Documents\Codex\2026-06-08\1\work\ssl-research\runs\dcase2024_172_tune_doae_lr1em3_seed1.log
